entity_label,entity_name,document_path,chunk_index
Concept,Intent,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,6
Example,What is the capital of Japan?,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,6
Example,"You are a friendly travel agent helping a customer to choose a holiday destination. Your readers may have English as a second language, so use simple terms and avoid colloquialisms. Avoid Jargon at all costs. Tell me about the capital of Japan.",/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,6
Challenge,Jargon,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,6
Technology,Generative AI,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,7
Technology,Large Language Models (LLMs),/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,7
Concept,training data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,7
Example,Avoid Jargon at all costs.,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,7
Example,Tell me about the capital of Japan.,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,7
Challenge,hallucination,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,7
Challenge,hallucination,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,8
Technology,LLMs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,8
Concept,limitations,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,8
Challenge,access to data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_1-what-is-genai.pdf,8
Concept,training data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,0
Technology,LLMs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,0
Technology,GenAI,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,0
Concept,predictive text machines,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,0
Concept,patterns and relationships from text,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,0
Challenge,Caution,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,0
Challenge,Access to Data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,0
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Concept,Access to Data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Concept,Training data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Process,Training,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Example,Internet,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Example,Books,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Example,Publicly available text,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Challenge,Questionable quality or incorrect data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Challenge,Static and potentially outdated data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Challenge,Lack of access to new or private information,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,1
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,2
Concept,Accuracy,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,2
Concept,Hallucination,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,2
Challenge,Inaccurate responses,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,2
Challenge,Misleading or baseless content,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,2
Benefit,Human-like text,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,2
Process,Fine-tuning,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,2
Benefit,Helpful responses,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,2
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,3
Challenge,hallucination,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,3
Example,"""The moon is made of cheese.""",/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,3
Concept,genuine understanding,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,3
Technology,LLMs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,4
Concept,Temperature,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,4
Concept,Randomness,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,4
Challenge,Lack of genuine understanding,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,4
Challenge,Lack of ethical judgment,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,4
Challenge,False statements,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,4
Concept,training data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Concept,temperature,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Process,setting a higher temperature,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Process,setting a lower temperature,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Benefit,more diverse and creative outputs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Benefit,consistent and precise responses,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Challenge,false statements,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Concept,design,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Resource,Reuters article,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,5
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Challenge,hallucination,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Resource,Reuters article on lawyers sanctioned for fake ChatGPT cases,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Example,LLM-generated legal brief,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Challenge,fictitious case citations,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Process,reduce the temperature,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Benefit,quick fix,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Challenge,missing required information,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Concept,Transparency,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Technology,GenAI Models,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Challenge,black-box nature,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,6
Technology,LLM,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,7
Concept,Transparency,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,7
Technology,GenAI Models,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,7
Concept,Black box,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,7
Challenge,Difficulty deciphering decision-making processes,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,7
Challenge,Unable to provide sources for output,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,7
Challenge,Unable to explain reasoning,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,7
Challenge,hallucination,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Concept,context,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Technology,GenAI models,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Challenge,limited access to data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Challenge,biased outputs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Challenge,lack of context,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Challenge,lack of logical coherence,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Process,providing context to GenAI models,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Benefit,improved accuracy of responses,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_2-considerations.pdf,8
Challenge,hallucination,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,0
Technology,LLMs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,0
Concept,context,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,0
Process,providing context in prompts,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,0
Benefit,more accurate and relevant responses,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,0
Benefit,reduced hallucinations,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,0
Technology,LLMs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,1
Challenge,Hallucinations,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,1
Process,Anchoring the model's response to supplied facts and details,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,1
Benefit,More accurate summaries,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,1
Benefit,Reduced hallucinations,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,1
Example,Including a relevant stock market report in the prompt when asking the model to summarize a company's performance,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,1
Concept,Access to data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,1
Technology,LLMs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Concept,Access to data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Concept,fixed knowledge cutoff,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Challenge,limited access to real-time data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Challenge,limited access to proprietary data,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Process,provide data in the prompt,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Benefit,up-to-date responses,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Benefit,relevant responses for a particular use case,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Example,statistics or data points,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Concept,recent events information,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Concept,organization-specific information,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,2
Technology,LLM prompting,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,3
Concept,Supplying context,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,3
Process,Providing statistics or data points in the prompt,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,3
Benefit,Useful facts in the model response,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,3
Example,Summarizing a company's performance using a stock market report and annual results,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,3
Benefit,Including a specific profit figure in the response,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,3
Technology,LLMs,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,4
Challenge,Hallucinations,/Users/t6w652j6ft/Documents/GitHub/workshop-genai/workshop-genai/data/genai-fundamentals_1-generative-ai_3-context.pdf,4
